LABID,Strain,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype,Source,Year,Amoxicillin,Cefquinome,Ceftiofur,Penicillin
89_4004,89-4004,23,26.0,Canada,RESP,1/2,Pig,1989.0,0.03,0.015,0.12,0.03
89_4223,89-4223,23,26.0,Canada,RESP,2,Pig,1989.0,0.03,0.015,0.12,0.03
89_4294,89-4294,3,2.0,Canada,RESP,19,Pig,1989.0,0.03,0.03,0.12,0.06
89_5046,89-5046,26,27.0,Canada,SYS-BRAIN,2,Pig,1989.0,0.03,0.03,0.12,0.03
89_5189,89-5189,6,10.0,Canada,UNKNOWN,,Pig,1989.0,0.03,0.03,0.12,0.06
89_5197,89-5197,9,8.0,Canada,RESP,16,Pig,1989.0,0.03,0.06,0.5,0.12
89_6891_2,89-6891-2,26,27.0,Canada,RESP,2,Pig,1989.0,0.03,0.015,0.12,0.03
89_88_422,89-88-422,7,14.0,Canada,RESP,31,Pig,1989.0,0.03,0.015,0.12,0.03
90_1145,90-1145,6,9.0,Canada,UNKNOWN,31,Pig,1990.0,0.12,0.12,2.0,2.0
90_2741_7,90-2741-7,26,27.0,Canada,SYS-BRAIN,2,Pig,1990.0,0.03,0.015,0.12,0.03
90_3615_2,90-3615-2,6,10.0,Canada,SYS-OTHER,11,Pig,1990.0,0.06,0.25,2.0,2.0
90_4400,90-4400,16,,Canada,RESP,,Pig,1990.0,0.06,0.12,2.0,0.5
90_4517_4,90-4517-4,6,10.0,Canada,RESP,11,Pig,1990.0,0.03,0.03,0.5,2.0
90_546,90-546,1,1.0,Canada,RESP,,Pig,1990.0,0.03,0.03,0.25,0.03
91_1174,91-1174,6,10.0,Canada,RESP,1,Pig,1991.0,0.03,0.03,0.25,0.03
91_173B_752,91-173B-752,6,10.0,Canada,SYS-BRAIN,1,Pig,1991.0,0.03,0.03,0.25,0.03
91_175B_2156,91-175B-2156,23,25.0,Canada,RESP,1/2,Pig,1991.0,0.03,0.015,0.12,0.03
91_178_2215,91-178-2215,6,29.0,Canada,UNKNOWN,4 + 8,Pig,1991.0,0.03,0.03,0.12,0.03
91_178_2469,91-178-2469,22,25.0,Canada,RESP,3,Pig,1991.0,0.03,0.03,0.12,0.03
92_1130,92-1130,6,10.0,Canada,SYS-BRAIN,1,Pig,1992.0,0.03,0.015,0.12,0.03
92_2402_1119,92-2402-1119,1,1.0,Canada,RESP,,Pig,1992.0,0.03,0.03,0.12,0.03
93_1320,93-1320,2,1.0,Canada,UNKNOWN,5,Pig,1993.0,0.03,0.03,0.12,0.06
93_2042_4514,93-2042-4514,2,1.0,Canada,RESP,,Pig,1993.0,0.03,0.015,0.12,0.03
94_1713,94-1713,12,8.0,Canada,SYS-OTHER,11,Pig,1994.0,0.03,0.015,0.12,0.03
94_2571,94-2571,6,10.0,Canada,SYS-BRAIN,12,Pig,1994.0,0.5,0.5,8.0,8.0
94_3370_6480,94-3370-6480,6,12.0,Canada,UNKNOWN,,Pig,1994.0,0.06,0.12,2.0,1.0
94_8576_4887,94-8576-4887,23,25.0,Canada,RESP,14,Pig,1994.0,0.03,0.015,0.12,0.03
99_C561_8614_2,99-C561-8614-2,1,1.0,Canada,SYS-BRAIN,23,Pig,1999.0,0.03,0.03,0.12,0.03
BE4B3_2A,BE4B3-2A,2,1.0,Canada,NON-CLINICAL,23,Pig,2016.0,0.03,0.03,0.12,0.03
BE4B3_4A,BE4B3-4A,16,,Canada,NON-CLINICAL,16,Pig,2016.0,0.12,0.12,2.0,2.0
BE4B3_4B,BE4B3-4B,16,,Canada,NON-CLINICAL,16,Pig,2016.0,0.12,0.12,2.0,2.0
CF2D3_1C,CF2D3-1C,31,,Canada,NON-CLINICAL,28,Pig,2016.0,0.12,1.0,8.0,1.0
CF2D3_2C,CF2D3-2C,31,,Canada,NON-CLINICAL,28,Pig,2016.0,0.06,1.0,8.0,1.0
CF2D3_2D,CF2D3-2D,7,11.0,Canada,NON-CLINICAL,30,Pig,2016.0,0.03,0.06,0.5,0.03
CF2D3_2E,CF2D3-2E,1,1.0,Canada,NON-CLINICAL,5,Pig,2016.0,0.03,0.03,0.12,0.03
CF2D3_4A,CF2D3-4A,1,1.0,Canada,NON-CLINICAL,5,Pig,2016.0,0.03,0.03,0.12,0.03
CF2D3_4B,CF2D3-4B,6,9.0,Canada,NON-CLINICAL,,Pig,2016.0,0.25,0.12,2.0,2.0
CF2D3_4C,CF2D3-4C,6,9.0,Canada,NON-CLINICAL,,Pig,2016.0,0.06,0.12,2.0,1.0
CF2D3_4D,CF2D3-4D,6,9.0,Canada,NON-CLINICAL,,Pig,2016.0,0.06,0.03,0.25,0.5
CG3S3_2A,CG3S3-2A,5,21.0,Canada,NON-CLINICAL,29,Pig,2016.0,0.12,0.25,2.0,1.0
CG3S3_2B,CG3S3-2B,5,21.0,Canada,NON-CLINICAL,29,Pig,2016.0,0.03,0.03,0.25,0.25
D15_036307,D15-036307,23,25.0,Canada,UNKNOWN,1/2,Pig,,0.03,0.015,0.12,0.03
D15_036308,D15-036308,2,1.0,Canada,UNKNOWN,23,Pig,,0.03,0.03,0.12,0.03
D15_036753,D15-036753,2,1.0,Canada,UNKNOWN,3,Pig,,0.03,0.03,0.12,0.03
D15_036755,D15-036755,23,26.0,Canada,UNKNOWN,,Pig,,0.03,0.03,0.12,0.03
D15_037100,D15-037100,2,1.0,Canada,UNKNOWN,23,Pig,,0.03,0.03,0.12,0.03
D15_037104,D15-037104,23,26.0,Canada,UNKNOWN,1/2,Pig,,0.03,0.015,0.12,0.03
D15_049776,D15-049776,12,8.0,Canada,UNKNOWN,9,Pig,,0.03,0.06,0.5,0.06
D15_049887,D15-049887,23,26.0,Canada,UNKNOWN,1/2,Pig,,0.06,0.015,0.12,0.03
D15_055799,D15-055799,23,26.0,Canada,UNKNOWN,1/2,Pig,,0.03,0.015,0.12,0.03
D15_061569,D15-061569,6,9.0,Canada,UNKNOWN,31,Pig,,0.06,0.25,2.0,0.25
