LABID,BAPS2_1092,NewBaps,Genome.Set,Pathogen,Serotype.x,Source,Year,ErmB,ErmG,ErmT,linB,lnuB,lnuC,lsaE,vgaLC,mefA,mel,parC,tet44,tetM,tetO,tetW,tet40,tetL,tetOW32O,ANT4Ib,ANT6Ia,ANT6Ib,ANT6Ib1,ANT9Ia,APH3IIIa,ANT1,aadE1,aadE2,dfr:1,dfr:2,dfrF,dfrK,folP,cat1,blaZ,pbp2B,pbp2X:1,pbp2X:2,pbp2X:3,mraY
1505307,14,NA,Canada,UNKNOWN,16,Pig,2013,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no
1506978,6,10,Canada,SYS-BRAIN,NA,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1506989,12,8,Canada,SYS-OTHER,16,Pig,2013,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes
1508445,2,1,Canada,SYS-BRAIN,23,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1514647,5,21,Canada,RESP,28,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
1521251,1,1,Canada,SYS-BRAIN,NA,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1522228,1,1,Canada,SYS-BRAIN,23,Pig,2013,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
1588531,18,4,Canada,UNKNOWN,1,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1596165,23,26,Canada,SYS-BRAIN,14,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1596201,18,4,Canada,SYS-BRAIN,1,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1596217,18,4,Canada,SYS-OTHER,1,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1597776,23,25,Canada,UNKNOWN,1/2,Pig,2014,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1597778,23,26,Canada,SYS-OTHER,1/2,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1600268,1,1,Canada,UNKNOWN,NA,Pig,2014,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
1601399,23,25,Canada,SYS-OTHER,1/2,Pig,2014,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
