"LABID","PT","Penicillin","Amoxicillin","Meropenem","Cefotaxime","Ceftriaxone","Cefuroxime"
"20154481","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153400","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153010","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012220587","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"8433-07","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154447","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2010223233","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009209281","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013213344","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154452","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013207668","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013224057","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153181","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153233","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153462","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152273","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013222074","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2010220298","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154438","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153173","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2009216881","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202576","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153398","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012221546","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152239","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"6794-05","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2010220106","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013215208","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20154508","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2010220066","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2013218080","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2012219138","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"2014202885","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20152825","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"7266-05","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"20153281","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
"7948-07","0-0-2",0.03,0.03,0.06,0.06,0.5,0.5
