"LABID","PT","D1","D2"
"20156951","19-31-8",4.03822866106948,3.20585001590626
"20156952","91-4-3",-1.44980803140122,-1.20336339786862
"20156953","50-0-0",-1.4498080314034,-1.20336339787007
"20156954","2-3-2",-1.44980803140109,-1.20336339786841
"20160094","13-11-127",3.55208918706258,4.58956615813097
"20160095","3-5-5",-1.44980803140135,-1.20336339786863
"20160096","0-0-2",-1.44980803140176,-1.20336339786877
"20160097","1-2-2",-1.44980803140143,-1.20336339786868
"20160098","2-4-0",-0.486944587707703,-1.21771059207762
"20160099","2-108-2",-1.44980803140197,-1.20336339786891
"20160100","0-1-1",0.391763637575037,2.03698579471802
"20160102","3-5-5",-1.44980803140181,-1.20336339786896
"20160104","13-11-16",9.65907420004348,5.42140672220859
"20160105","1-0-175",-1.44980803140103,-1.20336339786852
"20160106","2-3-2",-1.44980803140141,-1.20336339786872
"20160107","0-1-1",0.391763637576581,2.03698579471752
"20160108","0-0-2",-1.44980803140195,-1.20336339786894
"20160109","13-11-16",9.65907420004226,5.42140672221022
"20160110","2-0-2",-1.44980803140205,-1.20336339786889
"20160111","11-0-0",-1.44980803140162,-1.20336339786886
"20160112","0-0-3",-1.44980803140196,-1.20336339786899
"20160113","12-0-0",-1.44980803140102,-1.20336339786851
"20160114","2-0-0",-1.44980803140194,-1.20336339786898
"20160115","19-31-8",4.94657545565509,3.89802818423879
"20160116","2-0-2",-1.44980803140133,-1.20336339786876
"20160117","0-0-2",-1.44980803140149,-1.20336339786876
"20160118","2-3-2",-1.44980803140174,-1.20336339786886
"20160119","4-12-7",6.07987603352402,3.24014234963956
"20160120","2-0-6",-1.44980803140179,-1.20336339786887
"20160121","2-6-0",-1.44980803140236,-1.20336339786939
"20160122","0-0-174",-0.0487497828371338,-1.24879820758088
"20160123","2-0-2",-1.44980803140149,-1.20336339786866
"20160124","15-16-8",7.20626634387421,4.44530512393814
"20160125","0-0-124",-1.4498080314028,-1.20336339786969
"20160126","13-11-16",9.65907420004247,5.42140672220983
"20160127","1-2-2",-1.44980803140313,-1.2033633978697
"20160128","0-107-2",-1.44980803140104,-1.20336339786833
"20160129","19-31-8",5.0056491242362,2.79059295166039
"20160130","11-0-0",-1.44980803140119,-1.20336339786847
"20160131","2-0-0",-1.4498080314012,-1.20336339786859
"20160132","19-1-24",1.84433561196111,3.18804714416218
"20160133","19-1-24",0.909375392400035,3.31672369048247
"20160234","0-1-1",-0.8639554762966,1.89228392576435
"20160235","0-0-2",-1.44980803140304,-1.20336339786969
"20160236","2-0-2",-1.44980803140185,-1.20336339786908
"20160237","9-4-3",-1.44980803140123,-1.2033633978686
"20160238","2-4-6",-1.44980803140097,-1.20336339786846
"20160239","2-6-0",-1.44980803140115,-1.20336339786858
"20160240","1-0-0",-1.44980803140282,-1.20336339786932
"20160241","0-0-2",-1.44980803140127,-1.20336339786865
"20160242","2-3-2",-1.44980803140126,-1.2033633978686
"20160243","12-0-139",-0.486944587707685,-1.21771059207696
"20160270","2-3-2",-1.44980803140374,-1.2033633978698
"20160271","1-4-2",-1.4498080314035,-1.20336339787007
"20160272","24-27-28",-0.400589310808016,1.94264277675543
"20160273","4-7-7",6.09788246620467,5.48717667884709
"20160274","2-0-2",-0.486944587709042,-1.21771059208261
"20160275","2-0-2",-1.44980803140205,-1.20336339786893
"20160276","0-0-0",-1.44980803140236,-1.20336339786933
"20160277","19-1-24",0.991590201488155,2.38639321998297
"20160278","1-4-2",-0.486944587708297,-1.21771059207903
"20160279","0-10-14",-1.43207760973469,0.170069394914802
"20160280","1-2-2",-1.44980803140231,-1.20336339786915
"20160281","0-1-1",-0.863955476293948,1.89228392576459
"20160282","1-2-2",-1.44980803140147,-1.20336339786884
"20160284","2-0-111",0.270665833670351,-1.38476864660087
"20160285","1-2-2",-1.44980803140358,-1.20336339787009
"20160287","19-1-24",1.27945392805253,3.4545932570786
"20160288","0-0-2",1.09271870268228,1.17751747179481
"20160289","1-0-110",-0.673426895280102,-0.0671132186986162
"20160290","92-4-2",-1.44980803140368,-1.20336339786992
"20160292","2-4-6",-1.44980803140087,-1.20336339786831
"20160293","2-0-2",-1.44980803140211,-1.20336339786882
"20160294","12-0-0",-1.44980803140134,-1.20336339786861
"20160295","2-6-0",-0.486944587708326,-1.21771059207969
"20160296","12-0-0",-1.44980803140146,-1.20336339786874
"20160297","0-1-1",0.391763637573712,2.03698579471899
"20160298","0-0-3",-1.44980803140085,-1.20336339786832
"20160299","1-2-2",-1.44980803140133,-1.20336339786868
"20160300","13-11-26",11.7573335946954,5.57599054498829
"20160301","13-11-16",9.24523063323904,5.85858351069868
"20160302","0-1-1",-0.7519730432407,0.894635353439945
"20160304","0-0-2",-1.44980803140191,-1.20336339786897
"20160305","0-29-11",0.100681228890135,1.07816929269421
"20160306","0-1-1",-0.863955476295774,1.8922839257649
"20160307","0-0-17",-0.486944587708231,-1.21771059207939
"20160308","4-7-7",8.34351685202347,4.3546560594645
"20160309","15-12-18",7.6177231935318,5.77464072143325
"20160310","27-36-8",9.65907420004345,5.42140672220919
"20160311","0-10-14",-0.119692252036302,-0.147995290701541
"20160442","24-27-28",-0.400589310807296,1.94264277675593
"20160443","1-4-2",-1.44980803140402,-1.20336339786991
"20160444","3-5-5",-1.44980803140157,-1.20336339786883
"20160445","0-0-2",-0.712640689921796,-1.83888056792038
"20160446","1-2-2",-1.44980803140105,-1.20336339786846
"20160447","1-4-2",-0.486944587708518,-1.21771059208054
"20160448","0-10-14",0.445280845386609,0.561695073152144
"20160449","11-0-0",-1.44980803140211,-1.2033633978689
"20160523","24-27-8",3.11215985771814,2.8705613266162
"20160524","1-2-2",-1.44980803140323,-1.20336339786966
"20160525","13-11-16",9.6590742000428,5.42140672220944
"20160526","1-2-2",-1.44980803140175,-1.2033633978689
"20160527","2-0-53",-1.44980803140295,-1.20336339786967
"20160528","4-7-7",7.20626634387304,4.44530512393485
"20160529","17-7-18",8.65082680281869,4.92448171943546
"20160530","1-2-2",-1.44980803140214,-1.20336339786919
"20160532","94-110-177",2.36456529460854,3.55028323362628
"20160533","0-1-1",-0.863955476301261,1.8922839257649
"20160534","4-7-7",6.07987603352398,3.24014234963969
"20160535","1-2-2",-1.44980803140325,-1.20336339786962
"20160536","1-0-0",-1.44980803140178,-1.20336339786888
"20160537","8-0-11",-0.751973043241577,0.894635353440324
"20160538","11-0-0",-0.486944587707838,-1.21771059207821
